time,signal
1,143.442
2,109.0
3,103.03
4,105.979
5,103.929
6,131.979
7,117.715
8,136.894
9,131.8
10,134.632
11,135.36
12,122.569
13,117.475
14,127.005
15,116.096
16,127.799
17,139.232
18,128.803
19,119.393
20,118.404
21,93.6802
22,97.0246
23,124.832
24,120.876
25,96.9617
26,93.3565
27,130.361
28,142.696
29,135.516
30,129.237
31,111.721
32,105.413
33,93.6202
34,131.02
35,133.13
36,134.856
37,134.065
38,133.283
39,124.535
40,128.083
41,110.897
42,109.264
43,134.796
44,110.622
45,138.416
46,135.935
47,107.84
48,134.605
49,133.957
50,136.706
51,121.281
52,118.098
53,127.125
54,127.694
55,137.239
56,129.912
57,110.546
58,113.879
59,110.043
60,112.992
61,113.399
62,146.064
63,138.524
64,151.519
65,132.249
66,120.412
67,114.512
68,111.099
69,106.344
70,113.369
71,157.944
72,150.38
73,132.788
74,124.787
75,127.964
76,132.039
77,142.168
78,137.104
79,121.491
80,115.017
81,118.494
82,109.067
83,111.841
84,116.291
85,118.134
86,128.293
87,134.964
88,116.444
89,114.118
90,118.026
91,115.407
92,133.013
93,112.111
94,108.544
95,111.211
96,125.551
97,137.05
98,113.954
99,114.358
100,109.719
101,126.477
102,119.842
103,128.533
104,137.661
105,116.588
106,109.896
107,103.929
108,108.784
109,104.716
110,147.083
111,126.477
112,121.311
113,111.206
114,151.893
115,148.666
116,152.118
117,120.328
118,114.358
119,117.155
120,144.746
121,127.268
122,122.929
123,123.438
124,109.812
125,121.263
126,109.204
127,120.337
128,137.404
129,117.355
130,115.149
131,113.207
132,110.618
133,107.57
134,104.648
135,99.3141
136,108.733
137,123.408
138,139.262
139,138.767
140,137.23
141,117.132
142,134.916
143,140.026
144,118.808
145,118.699
146,116.696
147,118.17
148,141.809
149,143.787
150,140.841
151,128.428
152,130.945
153,127.08
154,139.921
155,131.305
156,133.036
157,114.201
158,114.718
159,130.226
160,133.957
161,114.493
162,119.393
163,155.498
164,123.558
165,133.897
166,144.274
167,129.513
168,126.106
169,130.841
170,123.528
171,145.429
172,141.03
173,143.559
174,144.386
175,145.375
176,113.399
177,111.241
178,131.71
179,136.235
180,118.17
181,103.689
182,91.3127
183,136.754
184,126.495
185,120.998
186,105.548
187,118.089
188,136.025
189,117.115
190,119.513
191,113.387
192,105.09
193,137.517
194,115.677
195,152.118
196,156.865
197,154.695
198,156.074
199,155.354
200,136.654
201,114.763
202,109.473
203,110.38
204,106.267
205,100.179
206,132.735
207,114.949
208,125.326
209,126.525
210,133.418
211,132.384
212,123.214
213,139.891
214,117.081
215,124.391
216,118.973
217,117.295
218,118.913
219,133.867
220,125.326
221,133.598
222,134.002
223,137.973
224,135.785
225,122.225
226,148.666
227,137.733
228,135.815
229,137.284
230,125.398
231,125.626
232,120.369
233,135.319
234,123.289
235,119.932
236,107.597
237,106.914
238,99.434
239,101.502
240,136.505
241,140.116
242,123.139
243,133.118
244,123.241
245,124.607
246,117.55
247,101.34
248,97.3123
249,94.6991
250,96.0177
251,94.7141
252,105.008
253,155.579
254,138.452
255,117.99
256,102.79
257,89.9042
258,87.6865
259,94.759
260,126.189
261,129.012
262,131.08
263,112.277
264,134.617
265,123.657
266,137.314
267,133.688
268,114.692
269,111.163
270,134.425
271,126.136
272,128.923
273,138.273
274,139.262
275,118.284
276,112.74
277,150.619
278,127.304
279,128.323
280,120.052
281,112.969
282,105.577
283,109.084
284,121.77
285,148.522
286,117.487
287,101.118
288,140.574
289,138.153
290,122.809
291,112.355
292,118.733
293,108.844
294,101.562
295,101.016
296,128.765
297,131.44
298,142.665
299,128.983
300,124.308
301,133.705
302,121.161
303,136.355
304,140.011
305,121.146
306,115.257
307,115.886
308,137.877
309,132.699
310,128.623
311,123.888
312,128.803
313,112.5
314,110.223
315,140.035
316,133.741
317,135.695
318,134.533
319,137.074
320,134.362
321,131.5
322,128.383
323,117.819
324,128.788
325,127.784
326,129.522
327,144.386
328,127.095
329,137.985
330,141.06
331,125.746
332,118.442
333,114.043
334,112.8
335,110.582
336,114.088
337,129.147
338,139.28
339,124.008
340,106.896
341,115.797
342,104.229
343,109.431
344,112.74
345,142.984
346,112.92
347,113.639
348,106.626
349,142.228
350,117.715
351,101.352
352,132.306
353,120.172
354,113.202
355,115.549
356,132.384
357,116.853
358,113.998
359,112.29
360,111.558
361,117.73
362,120.157
363,137.463
364,121.73
365,112.92
366,113.279
367,116.875
368,117.834
369,110.248
370,109.204
371,120.352
372,137.553
373,103.48
374,102.109
375,144.458
376,124.188
377,121.55
378,110.852
379,113.399
380,106.357
381,104.888
382,112.26
383,110.87
384,114.838
385,112.92
386,112.29
387,106.626
388,117.312
389,144.926
390,136.115
391,120.292
392,101.879
393,130.601
394,135.955
395,108.379
396,109.683
397,119.321
398,118.961
399,139.396
400,128.113
401,129.147
402,134.092
403,136.834
404,118.781
405,104.604
406,101.921
407,95.4782
408,107.226
409,97.2763
410,106.694
411,141.689
412,138.992
413,142.049
414,134.137
415,126.225
416,131.74
417,128.923
418,110.51
419,120.651
420,108.964
421,106.123
422,107.256
423,126.909
424,127.08
425,123.608
426,129.39
427,138.213
428,127.694
429,126.225
430,127.458
431,128.226
432,138.572
433,126.181
434,133.688
435,126.967
436,135.755
437,137.158
438,132.833
439,111.721
440,115.689
441,114.088
442,130.841
443,130.037
444,117.954
445,136.325
446,116.3
447,114.718
448,112.245
449,101.951
450,107.615
451,109.575
452,115.227
453,129.642
454,141.359
455,129.342
456,130.781
457,124.248
458,145.135
459,109.413
460,135.261
461,133.208
462,143.127
463,125.266
464,137.589
465,114.933
466,143.487
467,114.25
468,143.847
469,138.273
470,118.194
471,115.916
472,118.709
473,135.755
474,117.954
475,141.74
476,119.609
477,118.988
478,116.228
479,129.057
480,127.784
481,130.571
482,129.522
483,130.027
484,118.988
485,138.093
486,137.598
487,121.071
488,136.774
489,124.382
490,106.806
491,104.073
492,117.894
493,128.923
494,118.808
495,138.363
496,139.351
497,121.64
498,105.727
499,89.7543
500,110.987
501,118.359
502,131.17
503,134.946
504,100.539
505,128.275
506,137.517
507,112.268
508,140.85
509,111.062
510,115.689
511,130.301
512,122.342
513,133.752
514,125.821
515,156.68
516,152.957
517,153.813
518,136.182
519,113.819
520,117.774
521,137.014
522,136.43
523,121.55
524,117.055
525,108.574
526,104.499
527,109.234
528,115.137
529,107.211
530,113.429
531,107.525
532,109.791
533,111.697
534,132.087
535,118.709
536,136.367
537,132.204
538,116.156
539,121.775
540,133.538
541,140.574
542,132.591
543,129.762
544,127.184
545,129.582
546,122.963
547,133.7
548,114.628
549,111.841
550,115.572
551,125.207
552,108.464
553,132.339
554,132.806
555,126.855
556,129.534
557,134.257
558,124.607
559,123.297
560,105.224
561,150.185
562,152.882
563,153.257
564,135.096
565,118.359
566,106.087
567,109.606
568,111.032
569,131.755
570,145.105
571,115.473
572,106.164
573,135.441
574,146.454
575,143.262
576,129.462
577,138.273
578,121.73
579,119.078
580,120.0
581,118.083
582,109.323
583,105.188
584,108.227
585,154.096
586,141.509
587,127.664
588,122.749
589,118.733
590,116.201
591,120.615
592,118.194
593,122.18
594,119.273
595,116.756
596,120.112
597,115.857
598,112.32
599,116.208
600,142.168
601,143.427
602,134.017
603,114.743
604,97.3482
605,116.651
606,122.21
607,135.845
608,116.875
609,116.875
610,127.664
611,134.766
612,111.451
613,93.4404
614,123.924
615,127.484
616,142.408
617,132.519
618,133.148
619,112.527
620,98.5949
621,104.289
622,143.559
623,128.683
624,125.806
625,128.939
626,122.953
627,110.897
628,120.741
629,132.818
630,134.716
631,108.11
632,151.668
633,131.106
634,105.967
635,106.986
636,129.956
637,107.885
638,105.847
639,114.178
640,126.705
641,133.837
642,130.541
643,108.245
644,107.885
645,126.555
646,130.865
647,132.447
648,120.591
649,122.509
650,120.532
651,131.029
652,114.118
653,112.86
654,115.077
655,114.418
656,112.515
657,135.875
658,116.141
659,122.03
660,108.934
661,138.392
662,134.137
663,119.483
664,126.945
665,139.441
666,119.513
667,107.745
668,115.309
669,110.115
670,109.971
671,118.494
672,130.335
673,124.643
674,123.708
675,135.216
676,128.083
677,120.549
678,137.374
679,119.501
680,110.736
681,103.929
682,106.147
683,120.532
684,137.086
685,135.986
686,112.41
687,105.393
688,106.367
689,134.16
690,116.053
691,119.101
692,129.822
693,116.83
694,116.935
695,113.998
696,130.271
697,135.935
698,106.986
699,103.056
700,141.209
701,140.161
702,123.456
703,105.368
704,89.6987
705,87.6266
706,89.7382
707,95.1186
708,135.036
709,135.815
710,144.314
711,131.62
712,126.123
713,130.406
714,125.192
715,136.774
716,123.408
717,111.866
718,128.72
719,154.186
720,133.148
721,108.11
722,127.484
723,135.627
724,138.722
725,139.891
726,137.254
727,141.329
728,114.448
729,115.653
730,135.396
731,136.924
732,125.722
733,127.964
734,126.801
735,141.03
736,140.251
737,135.755
738,117.055
739,115.032
740,128.024
741,110.088
742,103.677
743,147.758
744,151.003
745,136.007
746,128.473
747,110.282
748,114.106
749,126.046
750,115.197
751,141.257
752,120.112
753,135.635
754,138.889
755,122.527
756,117.595
757,109.818
758,118.269
759,117.55
760,111.541
761,115.572
762,110.897
763,115.032
764,113.459
765,114.918
766,127.484
767,105.338
768,120.951
769,142.109
770,115.976
771,126.405
772,131.035
773,137.104
774,125.386
775,121.431
776,119.258
777,118.763
778,111.122
779,101.078
780,93.5003
781,95.5861
782,114.898
783,133.478
784,109.611
785,140.52
786,115.122
787,119.992
788,112.14
789,100.468
790,116.815
791,118.494
792,116.396
793,118.461
794,129.882
795,131.125
796,132.579
797,128.338
798,116.552
799,134.721
800,118.314
801,112.44
802,114.538
803,113.144
804,117.163
805,119.273
806,140.574
807,126.765
808,118.629
809,117.415
810,105.548
811,107.094
812,109.812
813,157.872
814,129.616
815,117.595
816,151.099
817,136.235
818,140.071
819,136.115
820,139.197
821,117.265
822,109.863
823,105.727
824,108.065
825,109.683
826,107.037
827,99.6538
828,111.733
829,128.563
830,136.577
831,140.67
832,135.935
833,129.39
834,138.093
835,138.684
836,142.888
837,124.355
838,114.394
839,114.808
840,103.595
841,108.694
842,117.774
843,118.853
844,144.026
845,131.62
846,116.387
847,128.323
848,123.708
849,125.356
850,122.629
851,124.547
852,122.809
853,129.642
854,134.287
855,113.675
856,143.507
857,111.841
858,141.06
859,138.65
860,147.083
861,144.823
862,129.246
863,129.417
864,120.22
865,132.806
866,116.276
867,132.788
868,145.375
869,128.671
870,125.057
871,121.281
872,133.598
873,129.539
874,121.67
875,124.877
876,144.416
877,123.648
878,112.245
879,117.523
880,129.432
881,128.473
882,113.159
883,113.408
884,137.985
885,108.82
886,108.994
887,111.661
888,108.388
889,138.381
890,139.651
891,114.178
892,112.26
893,118.961
894,117.295
895,119.573
896,138.812
897,136.475
898,134.811
899,138.273
900,136.403
901,137.589
902,114.598
903,121.73
904,137.949
905,113.954
906,92.5653
907,89.8903
908,136.726
909,144.026
910,130.757
911,118.202
912,109.054
913,102.516
914,93.9319
915,139.531
916,140.88
917,113.189
918,113.699
919,140.857
920,119.806
921,109.773
922,113.279
923,113.891
924,100.573
925,107.406
926,138.812
927,121.251
928,112.98
929,115.167
930,116.875
931,114.673
932,134.599
933,112.86
934,122.09
935,98.2832
936,119.285
937,104.571
938,131.38
939,128.897
940,128.923
941,111.733
942,146.499
943,130.316
944,107.186
945,136.025
946,110.258
947,113.04
948,109.661
949,95.2984
950,92.8171
951,134.317
952,132.024
953,144.53
954,135.216
955,129.132
956,115.257
957,126.945
958,128.275
959,113.159
960,117.325
961,154.07
962,134.916
963,122.03
964,121.76
965,118.494
966,109.683
967,108.137
968,105.548
969,111.769
970,146.084
971,126.225
972,110.255
973,116.516
974,119.093
975,109.803
976,112.44
977,111.167
978,108.245
979,101.951
980,103.749
981,99.5539
982,104.109
983,136.295
984,140.85
985,138.016
986,142.408
987,137.661
988,138.857
989,128.803
990,127.724
991,135.905
992,117.295
993,112.56
994,130.613
995,124.427
996,139.591
997,140.659
998,118.674
999,116.216
1000,112.2
1001,118.374
1002,123.948
1003,134.35
1004,129.822
1005,130.001
1006,117.685
1007,119.675
1008,114.178
1009,118.828
1010,117.685
1011,117.325
1012,117.078
1013,121.61
1014,118.614
1015,117.617
1016,137.086
1017,112.236
1018,114.238
1019,141.105
1020,129.282
1021,125.794
1022,121.505
1023,118.02
1024,114.957
1025,108.853
1026,108.63
1027,142.498
1028,127.259
1029,127.484
1030,119.812
1031,119.393
1032,137.302
1033,130.801
1034,120.883
1035,119.213
1036,135.576
1037,126.091
1038,107.945
1039,117.415
1040,137.239
1041,126.431
1042,124.967
1043,138.668
1044,137.344
1045,103.749
1046,110.822
1047,107.741
1048,127.192
1049,126.855
1050,130.241
1051,137.194
1052,123.506
1053,142.049
1054,119.033
1055,152.909
1056,152.837
1057,129.462
1058,137.329
1059,120.891
1060,134.227
1061,128.473
1062,126.975
1063,120.756
1064,124.517
1065,123.528
1066,126.72
1067,152.477
1068,131.38
1069,107.645
1070,104.604
1071,133.315
1072,136.51
1073,139.01
1074,111.571
1075,128.338
1076,131.395
1077,131.368
1078,114.898
1079,110.223
1080,114.605
1081,102.536
1082,99.0519
1083,140.161
1084,142.468
1085,137.778
1086,115.257
1087,135.306
1088,113.531
1089,118.374
1090,103.09
1091,101.891
1092,154.404
1093,156.134
1094,150.799
1095,137.074
1096,135.935
1097,136.774
1098,131.8
1099,105.937
1100,108.634
1101,146.933
1102,117.864
1103,103.749
1104,140.934
1105,112.2
1106,97.2988
1107,117.834
1108,120.472
1109,137.673
1110,137.579
1111,113.315
1112,114.628
1113,107.885
1114,117.99
1115,124.128
1116,118.614
1117,133.732
1118,137.446
1119,126.54
1120,138.572
1121,144.266
1122,114.286
1123,138.033
1124,111.436
1125,98.5949
1126,145.259
1127,127.125
1128,98.8946
1129,95.1786
1130,138.947
1131,119.528
1132,117.804
1133,108.892
1134,109.983
1135,108.125
1136,111.301
1137,106.806
1138,109.503
1139,102.266
1140,88.4208
1141,125.974
1142,133.373
1143,136.564
1144,110.537
1145,141.725
1146,135.216
1147,127.574
1148,111.991
1149,100.453
1150,112.38
1151,122.449
1152,124.832
1153,135.807
1154,110.193
1155,139.381
1156,123.858
1157,129.882
1158,122.03
1159,123.109
1160,121.311
1161,95.0042
1162,131.507
1163,133.013
1164,126.585
1165,131.008
1166,132.998
1167,118.554
1168,131.56
1169,120.831
1170,134.002
1171,115.976
1172,116.552
1173,99.0384
1174,108.676
1175,108.335
1176,90.4886
1177,89.0501
1178,99.2093
1179,147.308
1180,126.705
1181,132.339
1182,126.285
1183,103.698
1184,97.8414
1185,114.598
1186,116.67
1187,122.37
1188,137.308
1189,113.369
1190,148.282
1191,137.823
1192,113.927
1193,110.043
1194,107.089
1195,143.847
1196,139.351
1197,123.456
1198,110.517
1199,108.784
1200,107.301
1201,118.622
1202,140.161
1203,122.929
1204,109.773
1205,110.798
1206,104.597
1207,106.784
1208,110.163
1209,100.693
1210,89.6944
1211,128.923
